CD_SETOR,CEP
355030805000140,03694-050
355030805000140,03694-130
355030805000141,03692-040
355030805000141,03692-050
355030805000141,03692-060
355030805000142,03693-030
355030805000142,03693-040
355030805000142,03693-070
355030805000142,03693-090
355030805000143,03687-020
355030805000143,03687-040
355030805000143,03687-080
355030805000144,03566-010
355030805000146,03687-000
355030805000146,03687-070
355030805000146,03687-100
355030805000146,03687-120
355030805000147,08220-140
355030805000147,08220-160
355030805000147,08220-180
355030806000001,01139-003
355030806000001,01139-040
355030806000001,01139-050
355030806000001,01140-000
355030806000001,01140-010
355030806000001,01140-020
355030806000001,01140-030
355030806000001,01140-050
355030806000001,01140-060
355030806000001,01140-120
355030806000001,01140-130
355030806000001,01141-010
355030806000001,01144-000
355030806000001,01144-010
355030806000001,01144-020
355030806000001,01144-030
355030806000001,01144-080
355030806000001,05003-000
355030806000007,05037-030
355030806000010,01155-020
355030806000010,01155-030
355030806000010,01156-030
355030806000011,01155-000
355030806000017,05003-120
355030806000018,05003-010
355030806000018,05003-060
355030806000023,05003-020
355030806000025,01235-000
355030807000004,01328-002
355030807000005,01317-002
355030807000005,01333-040
355030807000013,01327-000
355030807000013,01328-000
355030807000014,01326-010
355030807000015,01338-000
355030807000021,01327-001
355030807000025,01333-030
355030807000035,01314-030
355030807000036,01325-000
355030807000038,01324-001
355030807000039,01324-010
355030807000039,01325-030
355030807000040,01318-010
355030807000045,01317-001
355030807000045,01317-010
355030807000056,01310-100
355030807000065,01331-010
355030807000069,01326-020
355030807000070,01320-010
355030807000070,01320-020
355030807000070,01321-010
355030807000076,01323-001
355030807000082,01332-020
355030807000084,01313-001
355030807000085,01332-030
355030807000088,01313-020
355030807000091,01303-001
355030807000093,01318-020
355030807000093,01321-020
355030807000137,01314-040
355030808000002,03014-030
355030808000002,03058-080
355030808000003,03058-010
355030808000005,03057-010
355030808000005,03057-070
355030808000005,03059-000
355030808000005,03059-010
355030808000005,03062-030
355030808000005,03173-000
355030808000006,03014-000
355030808000006,03057-020
355030808000006,03057-030
355030808000006,03057-060
355030808000007,03057-050
355030808000009,03015-050
355030808000012,03059-020
355030808000012,03059-025
355030808000012,03059-040
355030808000012,03959-023
355030808000012,03959-025
355030808000013,03059-023
355030808000013,03062-000
355030808000016,03062-020
355030808000017,03044-020
355030808000017,03051-040
355030808000017,03055-000
355030808000017,03055-020
355030808000017,03757-010
355030808000019,03060-000
355030808000019,03060-007
355030808000021,03174-010
355030808000021,03175-030
355030808000023,03054-010
355030808000023,03054-020
355030808000023,03054-030
355030808000023,03057-000
355030808000024,03045-002
355030808000024,03047-010
355030808000024,03054-000
355030808000024,03054-003
355030808000025,03044-002
355030808000025,03055-010
355030808000025,03055-030
355030808000026,03020-010
355030808000026,03020-020
355030808000026,03020-030
355030808000026,03020-040
355030808000026,03021-020
355030808000027,03020-000
355030808000027,03020-050
355030808000027,03020-055
355030808000027,03021-010
355030808000028,03020-007
355030808000028,03021-000
355030808000029,03021-007
355030808000029,03021-040
355030808000029,03021-060
355030808000029,03021-070
355030808000031,03060-023
355030808000031,03064-100
355030808000032,03061-030
355030808000033,03058-040
355030808000033,03058-050
355030808000033,03060-025
355030808000033,03060-030
355030808000033,03061-040
355030808000033,03062-040
355030808000035,03177-110
355030808000035,03178-220
355030808000035,03303-010
355030808000035,03331-000
355030808000036,03175-040
355030808000036,03176-001
355030808000036,03176-100
355030808000036,03177-020
355030808000036,03177-090
355030808000036,03177-100
355030808000037,03173-020
355030808000037,03173-030
355030808000037,03173-040
355030808000037,03176-110
355030808000037,03177-010
355030808000037,03177-070
355030808000037,03177-080
355030808000040,03052-010
355030808000040,03052-030
355030808000040,03052-040
355030808000041,03047-020
355030808000041,03052-070
355030808000043,03019-050
355030808000044,03019-030
355030808000044,03019-040
355030808000044,03023-020
355030808000045,03022-020
355030808000046,03058-030
355030808000046,03061-010
355030808000046,03076-000
355030808000047,03178-210
355030808000048,03178-001
355030808000048,03179-060
355030808000049,03175-001
355030808000049,03177-030
355030808000049,03177-040
